Aberdeen City,"228,670"
Aberdeenshire,"261,210"
Angus,"116,200"
Argyll and Bute,"85,870"
City of Edinburgh,"524,930"
Clackmannanshire,"51,540"
Dumfries and Galloway,"148,860"
Dundee City,"149,320"
East Ayrshire,"122,010"
East Dunbartonshire,"108,640"
East Lothian,"107,090"
East Renfrewshire,"95,530"
Falkirk,"160,890"
Fife,"373,550"
Glasgow City,"633,120"
Highland,"235,830"
Inverclyde,"77,800"
Midlothian,"92,460"
Moray,"95,820"
Na h-Eileanan Siar,"26,720"
North Ayrshire,"134,740"
North Lanarkshire,"341,370"
Orkney Islands,"22,270"
Perth and Kinross,"151,950"
Renfrewshire,"179,100"
Scottish Borders,"115,510"
Shetland Islands,"22,920"
South Ayrshire,"112,610"
South Lanarkshire,"320,530"
Stirling,"94,210"
West Dunbartonshire,"88,930"
West Lothian,"183,100"
